TWEET,CLASS
the hobbit was sooooo good omfg 😭😭😭😭,1
the hobbit was so good im sorry i ever had doubts,1
rt @isabelsgarreton: the hobbit was so good im sorry i ever had doubts,1
rt @piersst: i still cant get over how good the hobbit was 😍 im definitely going to watch it again!... so sad 😪,1
@leannebrown91 going to see the hobbit tomorrow. was it as good as i hope??,1
today was a really good day. saw the hobbit movie; had fun date; got home and caught the korra finale.,1
rt @alillich_ajl: the hobbit was too good 🙌,1
good thing i have people to go to the new hobbit with....,1
so its settled! im moving to rivendell in the fall #rivendell2015 final hobbit movie was toooooooooo good. cant even fathom how good it was,1
the hobbit was sooo good 😍😭,1
got to watch the new hobbit movie. ☺️ guess it was a pretty good night.,1
oooh the hobbit was sooo good,1
now that im home from seeing the hobbit; i just wanna curl up and read the book before i fall asleep. it was so good; ahhhh.,-1
rt @dylanlegebokow: so its settled! im moving to rivendell in the fall #rivendell2015 final hobbit movie was toooooooooo good. cant even fa…,1
the hobbit was a good movie,1
the hobbit was sooo good... #notlordoftherings #butstillsooogood,1
on another note; hobbit was good af honestly. sad to see it over 😔,1
went to see the hobbit with emily and friends. #lovethemsomuch #goodtobehome,1
rt @thevampstristan: just watched the hobbit! good film! still prefer lotr though! 😁,1
man... if you really enjoyed the book the hobbit then theres a good chance you wont enjoy the last movie. i at least thought it ok...,1
the hobbit was so good. and im crying bcs its #onelasttime,1
ayee the hobbit was a good movie,1
the hobbit was so good i didnt want the series to end,1
rt @jackharris_15: the hobbit was so good,1
hobbit was so good,1
got back from watching last the hobbit. :\ kinda disappointed but was still good!,-1
finally a good movie. watch hobbit; the battle of the five armies guysss!!!,1
the hobbit was so freaking good.,1
@ace_pjihyun the hobbit lol ah good weather to do such thing.,1
the hobbit... yes. twas soo good.,1
the hobbit was so flippin good,1
although it wasnt as good as the lotr trilogy; the hobbit movies were pretty damn good #satisfied,1
hobbit was good 👌,1
@skyasi sounds like a good day. martin freeman is best hobbit.,1
rt @isabelsgarreton: the hobbit was so good im sorry i ever had doubts,1
getting my nails done and watching the hobbit today is gonna be a good day 😊😄😊😄,1
the hobbit was so good i wanna go see it again 🌁,1
the new hobbit was so fucking good! wish there were more to come; i dont want it to be over 😭💔,1
@0six2three oh ya. good thing i taped the hobbit 1 & 2 to lull myself to sleep... for like 20 mins 😣,-1
rt @snazzyalec: ayee the hobbit was a good movie,1
saw the last hobbit movie with an awesome group of people and found out i pulled off a b in one of my difficult classes. twas a good day.,1
just watched the hobbit; another good movie 😊😊😊,1
ducks win; the hobbit was good; and the semester is fucking over!,1
the hobbit in 3d was so good 😊,1
rt @elmakias: saw the hobbit; was a good ride; nothing special. top movie for 2014 is john wick.,1
rt @perdi1309: iits a good day when you get a delivery of yarn from @woolwarehouse and the new art & design book of the hobbit:bofa by @we…,1
the new hobbit was soo good last night! i may of even shed a little tear! 😢,1
the hobbit was good; with good people. 👫👦👦 💕,1
thoroughly enjoyed watching the new hobbit movie. it felt as if it dragged a bit; but it was a good ending to the trilogy.,1
the hobbit was soooooo good. ive been waiting for that since the 5th grade 🙌👏,1
new hobbit movie... sooo good,1
iya. rt @potatota: you know what hobbit said when someone told him that the rating for the last movie is not very good? frodo amat!,1
the best king on earth; lord thorin!.. the hobbit; too good!!,1
@leepace @imax @thehobbitmovie the #hobbit its a good movie. it will be watch we and our descendants.thank you all for your wonderful work.,1
the hobbit was definitely a good movie to catch! even though i didnt watch parts 1 &2 😂 really awesome graphics *.*,1
“do you wish me a good morning; or mean that it is a good morning whether i want it or not; or that you feel good this morning; -,1
-or that it is a morning to be good on?” j.r.r. tolkien; the hobbit.0,1
the hobbit was a damn good movie.,1
the hobbit was really good last night come to think of it! best one out of the three! #thehobbitthebattleoffivearmies,1
watched the hobbit part 2 n whoever thought tauriel x kili was a good idea should have his own circle in inferno bc its just nasty,1
driving away any possible new followers; will be an infidel&say i didnt actually think the new hobbit was that *good* or engaging to...->,1
can i not say goodbye to hobbit? 😭 thank you for the wonderful piece of imagination j.r.r tolkien.,1
rt @emmaxcurtis: the hobbit was so freaking good.,1
how was the hobbit? @rebeccamain16 @master_blazed was it good?,1
the last goodbye from the hobbit 😢,1
the hobbit was pretty good esp those massive fights,1
just finished the hobbit and it was so good,1
is hobbit even good,1
rt @godofcorgi: the new hobbit movie was so good 😱,1
awe the hobbit was hella good breh,1
omg hobbit was so good!!!,1
i loved the last hobbit film so much; but the hobbit trilogy is still nowhere near as good as the lotr trilogy.,1
the hobbit was so good 😭,1
good morning! saw the latest hobbit movie last night and it was awesome!!,1
the last goodbye. #hobbit,1
watched the hobbit last night in the presence of @bryan_oviedo ; even got a handshake off him; it was a good night,1
the hobbit 5 armies must watch so good much epicosity very excites such w0w,1
the hobbit was soooooooo fucking good,1
rt @balletvibes: the hobbit was sooo good 😍😭,1
“@jooossseee_: awe the hobbit was hella good breh” 😭 i cant wait to see it 😱,1
the hobbit was a pretty good movie,1
im sure the hobbit was a great movie. i slept through the whole thing but im sure it was good,1
the new hobbit is so fucking good,1
rt @jennluvztexans: good morning! saw the latest hobbit movie last night and it was awesome!!,1
rt @shelleyf26: the new hobbit is so fucking good,1
rt @elmakias: saw the hobbit; was a good ride; nothing special. top movie for 2014 is john wick.,1
hobbit was kinda good. :),1
and the hobbit was really good,1
“@vneessa_: and the hobbit was really good”.....,1
the hobbit was good!!,1
rt @joeyfarrell11: watched the hobbit last night in the presence of @bryan_oviedo ; even got a handshake off him; it was a good night,1
rt @isabelsgarreton: the hobbit was so good im sorry i ever had doubts,1
hobbit was so darn good! 3d would be more epic tho,1
the hobbit movie was actually pretty good 👍,1
not what i expected from hobbit but it was still good,1
hobbit was very good; great wrap up for the trilogy. my favorite of the three for sure go see it,1
@vi4yoon waaahhhhh youre going to watch the hobbit? thats good! tell me how it goes okay? and yes; will save them for you <3,1
nothing like the book but still a very good movie!! #hobbit #thebattleoffivearmies,1
rt @elmakias: saw the hobbit; was a good ride; nothing special. top movie for 2014 is john wick.,1
seeing the hobbit again today; its just too good,1
the hobbit was good.,1
watching hobbit on sunday and partying on saturday; gonna be a good weekend,1
see; the hobbit trilogy wasnt half as good as the lord of the rings trilogy. peter jackson didnt do it justice; at all.,1
the hobbit was so good a couple of days ago! hate that the series of tolkien movies is finished!,1
looking forward to see the hobbit: the battle of the five armies this weekend. should be a good one.,1
rt @theseyi_: see; the hobbit trilogy wasnt half as good as the lord of the rings trilogy. peter jackson didnt do it justice; at all.,1
someone take me to watch the hobbit again pls its so good,1
but the company just bought everyone in the office tickets to the hobbit; so im good.,1
dang hobbit was good,1
"rt""@theseyi_: see; the hobbit trilogy wasnt half as good as the lord of the rings trilogy. peter jackson didnt do it justice; at all.""",1
the hobbit movie was great! it was so good; even tho i havent seen the other parts yet! @a_snrw ❤❤,1
can i help you？　yes; im looking for goods of the hobbits.,1
pls dont spoil me over the hobbit for goodness sake,1
i finally finished the hobbit i cried so mych goodnight,1
just saw the third hobbit movie and i have so many critiques but honestly the good bits were great,1
hobbit was good recommend watching it recommend bringing me along to watch,1
