TWEET,CLASS
loving my new #iphone6,1
iphone 6 + in full effect at tag all day; everyday. #maclife #apple #iphone6 #whatsupattag #likeaboss black or white? http://t.co/fhsf5floem,1
#win an #iphone6 sweepstakes http://t.co/r7mya2cexo,1
early morning i phone masters training!! #apple #iphone6,1
remote control iphone 6 http://t.co/nncexfdgf6 #ios #mobile #apple #iphone #tech #it #android #support #iphone6 #6plus #lollipop,-1
i keep dropping this big ass phone on my face n#iphone6,-1
see; its just not me that criticizes apple. even wozniak is on my side! http://t.co/jyzntst266 #apple #iphone6,-1
#stevewozniak #iphone6 - steve wozniak; better known as woz; has criticised apple for releasing the iphone http://t.co/o8udniypdw #iphone,-1
@theliberal_ie hoping my hopes will come to me; #win #iphone6 #competition,1
about to go from an ancient iphone ive have for 2 years to the iphone6,1
be sure to check out my video on how i edit #instagram photos! http://t.co/umrsdddjhd #youtuber #iphone6,1
survived a massive car crash 2 days ago; but my #iphone6 now is the newest vic of the #bendgate ... bad new after bad night ...,-1
my iphone6 has shipped! woot!,1
i wont be getting #iphone6 u?nnthe tragic poetry of a foxconn factory worker who committed suicide https://t.co/qv1urfqgem via @yahootech,-1
"currently writing to ms. badu ""didnt chu know""! #goodenergy #droidphone #iphone6 #motivated #sprited #zoned",-1
#iphone6 #galaxys5 - the iphone 6 and the samsung galaxy s5 are two of the hottest smartphones out in the http://t.co/pxmal7kodf #iphone,1
good says that #iphone6 is taking back the enterprise at the expense of #android http://t.co/4zhrlpq0iy,-1
feeling guilty if i go get the #iphone6.. you?nnwill apple give chinese iphone workers cancer? http://t.co/mq6qcmjafu via @theregister,-1
steve wozniak says the iphone6 is three years late to the market. http://t.co/xgruarwaga glad he tells us how he really feels.,-1
yaaaay finally got my #iphone6,1
new work phone dont mind if i do #apple #iphone6 #eyecandy @ at&t corporate office http://t.co/inscmrlmzl,1
uh oh look what i may have got myself today! #iphone6 #apple #upgrade #loveit #phone #treat #happy http://t.co/i0kmlzlttm,1
in related news; guess who had to run all over town to find a iphone6 in stock yesterday. #appleconspiracy http://t.co/9tbw0swqqq,1
this iphone6 plus screen big as hell,-1
rip iphone4s. just stopped working yesterday. coincidence that iphone6 just released? i think not #conspiracytheory http://t.co/yxqa5zmsbf,-1
when i come back from new york in a week im getting my iphone6,1
since iphone6 launch 1) mobile pay blocked 2) watch not interesting 3) wozniak says too late and stock soars #badapples @carlquintanilla,-1
#iphone6 #galaxys5 - the iphone 6 and the samsung galaxy s5 are two of the hottest smartphon... http://t.co/xfuxpixspp - #apple #iphone,1
#iphone5 #iphone6 - back in september 2012 when iphone 5 was released; all was not well and t... http://t.co/erezw061st - #apple #iphone,-1
the iris #onthatiphone #iphoneonly #iphone6 http://t.co/svydq755ng,1
#iphone6 giitaleah: - steve wozniak; better known as woz; has criticised apple for releasing the i.... http://t.co/1knxiesdcs iphone 6,-1
i love my iphone6 plus,1
im bout to get another number soon as i get the iphone6,1
